persona_id,run_index,age,age_group_team,position,skill_level,playing_time,coach_relationship,teammate_relationship,bullying_experience,friendship_importance,parent_support,parent_pressure,sports_expectation,overall_satisfaction,current_mood,stress_level,Q1_satisfaction,Q2_satisfaction,Q3_satisfaction,Q4_satisfaction,Q5_satisfaction,Q6_satisfaction,Q7_satisfaction,Q8_satisfaction,Q9_satisfaction,Q10_satisfaction,Q11_satisfaction,Q12_satisfaction,Q13_satisfaction,Q14_satisfaction,Q15_satisfaction,Q16_satisfaction,Q17_satisfaction,Q18_satisfaction,Q19_satisfaction,Q20_satisfaction,Q21_satisfaction,Q22_satisfaction,Q23_satisfaction,Q24_satisfaction,Q25_satisfaction,Q26_satisfaction,Q27_satisfaction,Q28_satisfaction,Q29_satisfaction,Q30_satisfaction,Q31_satisfaction,Q32_satisfaction,Q33_satisfaction,Q34_satisfaction,Q35_satisfaction,Q36_satisfaction,Q37_satisfaction,Q38_satisfaction,Q39_satisfaction,Q40_satisfaction,Q41_satisfaction,Q42_satisfaction,Q43_satisfaction,Q44_satisfaction,Q45_satisfaction,Q46_satisfaction,Q47_satisfaction,Q48_satisfaction,Q49_satisfaction,Q50_satisfaction,Q51_satisfaction,Q52_satisfaction,Q53_satisfaction,Q54_satisfaction,Q55_satisfaction,Q56_satisfaction,Q57_satisfaction,Q58_satisfaction,Q59_satisfaction,Q60_satisfaction,Q61_satisfaction,Q62_satisfaction,Q63_satisfaction,Q64_satisfaction,Q65_satisfaction,Q66_satisfaction,Q67_satisfaction,Q1_importance,Q2_importance,Q3_importance,Q4_importance,Q5_importance,Q6_importance,Q7_importance,Q8_importance,Q9_importance,Q10_importance,Q11_importance,Q12_importance,Q13_importance,Q14_importance,Q15_importance,Q16_importance,Q17_importance,Q18_importance,Q19_importance,Q20_importance,Q21_importance,Q22_importance,Q23_importance,Q24_importance,Q25_importance,Q26_importance,Q27_importance,Q28_importance,Q29_importance,Q30_importance,Q31_importance,Q32_importance,Q33_importance,Q34_importance,Q35_importance,Q36_importance,Q37_importance,Q38_importance,Q39_importance,Q40_importance,Q41_importance,Q42_importance,Q43_importance,Q44_importance,Q45_importance,Q46_importance,Q47_importance,Q48_importance,Q49_importance,Q50_importance,Q51_importance,Q52_importance,Q53_importance,Q54_importance,Q55_importance,Q56_importance,Q57_importance,Q58_importance,Q59_importance,Q60_importance,Q61_importance,Q62_importance,Q63_importance,Q64_importance,Q65_importance,Q66_importance,Q67_importance
child_0,0,11,U7,forward,high,high,good,isolated,frequent,high,low,medium,performance_focused,35,neutral,59,5,3,2,7,6,2,4,5,4,8,7,6,5,5,2,6,3,5,6,5,4,2,3,4,3,6,2,3,2,2,7,6,5,6,7,5,6,5,4,3,3,4,5,4,5,6,3,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,3,4,3,6,8,7,9,10,5,7,9,8,9,8,7,6,8,10,8,7,9,8,9,10,8,7,6,9,8,5,8,9,7,9,8,7,8,10,6,7,8,7,9,8,9,6,8,8,5,7,4,5,4,5,4,6,5,5,4,3,4,3,3,4,5,4,5,6,5,6
child_0_duplicate,0,11,U7,forward,high,high,good,isolated,frequent,high,low,medium,performance_focused,35,neutral,59,5,3,2,7,6,2,4,5,4,8,7,6,5,5,2,6,3,5,6,5,4,2,3,4,3,6,2,3,2,2,7,6,5,6,7,5,6,5,4,3,3,4,5,4,5,6,3,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,3,4,3,6,8,7,9,10,5,7,9,8,9,8,7,6,8,10,8,7,9,8,9,10,8,7,6,9,8,5,8,9,7,9,8,7,8,10,6,7,8,7,9,8,9,6,8,8,5,7,4,5,4,5,4,6,5,5,4,3,4,3,3,4,5,4,5,6,5,6
child_1,0,12,U11,mixed,high,high,neutral,strong,mild,low,medium,medium,performance_focused,79,frustrated,55,7,8,7,9,8,8,8,5,5,6,5,5,4,5,5,5,5,5,5,6,5,9,8,8,9,9,8,9,8,8,8,8,8,7,9,9,8,8,8,5,4,5,5,6,6,6,5,8,7,6,7,6,6,6,6,5,4,7,5,5,5,6,5,5,7,7,6,7,5,5,9,10,6,7,9,8,6,6,6,6,7,6,6,6,6,6,6,6,8,7,6,8,8,6,6,6,6,7,9,7,8,9,8,9,6,6,10,8,9,7,8,8,5,6,7,7,6,6,5,6,5,5,5,4,5,4,4,4,5,4,4,6,6,6
child_2,0,8,U9,forward,low,low,neutral,average,frequent,low,low,medium,performance_focused,0,neutral,64,4,5,3,5,4,4,3,5,4,5,5,4,4,4,5,5,4,5,5,4,4,3,3,4,4,5,4,3,3,3,5,4,3,4,5,4,4,5,4,5,4,4,5,4,5,4,3,3,3,4,3,4,4,4,4,3,3,3,3,2,3,4,3,3,3,4,4,6,5,4,7,8,5,3,7,6,6,5,6,6,7,5,5,5,6,5,7,7,5,5,5,5,6,4,5,5,5,7,6,3,6,7,6,6,6,5,8,7,8,6,7,6,5,4,4,4,5,4,4,5,4,4,3,4,5,3,2,3,5,3,4,5,5,5
child_3,0,12,U11,midfielder,low,medium,good,strong,none,high,medium,high,balanced,78,excited,21,8,9,7,7,7,8,6,8,8,7,8,8,8,7,8,7,8,8,7,8,8,8,8,7,8,8,8,9,8,8,8,7,6,7,8,7,8,7,7,8,8,9,7,8,8,7,6,8,8,7,8,7,7,8,7,6,6,7,5,5,6,7,5,6,8,7,7,8,9,8,8,7,9,6,9,9,8,8,8,8,8,8,8,8,9,8,9,9,9,8,8,9,9,8,9,8,9,9,7,6,7,9,7,8,7,7,9,8,9,8,8,8,7,6,8,8,7,8,7,7,8,7,6,6,7,5,5,6,7,5,6,8,7,7
child_4,0,8,U7,goalkeeper,high,medium,neutral,average,mild,low,medium,high,performance_focused,27,frustrated,78,5,4,3,5,6,5,3,4,4,5,5,4,4,4,5,5,4,5,5,4,4,3,3,3,4,4,3,3,3,3,5,5,3,4,4,5,4,5,5,4,3,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,2,3,3,2,3,3,2,3,3,4,4,7,5,4,7,8,6,4,7,6,7,5,5,6,6,6,6,6,7,6,7,7,4,5,4,5,5,4,4,4,5,7,6,4,5,6,6,6,5,5,8,7,8,6,7,6,5,4,4,4,5,4,5,6,5,5,3,3,4,3,2,3,4,3,4,5,5,5
child_5,0,14,U7,forward,high,medium,good,average,frequent,low,low,high,performance_focused,34,happy,37,5,4,3,6,7,5,6,7,6,8,7,7,6,6,5,6,7,6,7,8,8,4,4,4,4,6,3,5,4,3,6,7,6,5,6,6,7,7,6,5,5,5,6,5,5,6,4,3,3,2,2,3,4,3,2,2,1,1,2,1,3,4,3,2,2,4,3,7,6,5,8,9,5,7,8,8,9,8,8,8,9,6,7,8,8,8,9,9,6,5,5,6,7,5,6,5,5,7,8,7,6,7,8,8,8,7,8,7,8,7,7,7,5,4,4,4,3,2,4,5,4,3,3,2,2,3,2,4,5,4,3,3,4,3
child_6,0,11,U7,mixed,low,low,neutral,isolated,none,low,low,low,balanced,21,excited,50,7,5,5,4,6,3,8,8,7,5,4,4,4,3,3,5,6,5,5,5,5,4,5,5,4,6,2,3,3,2,6,5,6,5,4,5,6,5,5,8,6,7,6,6,6,5,5,4,4,2,1,3,4,3,2,2,1,1,1,1,2,4,3,2,2,3,3,8,6,7,7,8,5,9,8,7,6,5,5,5,5,5,6,7,6,6,7,6,6,6,6,6,7,3,5,5,3,8,7,8,7,6,6,7,6,6,9,8,8,7,7,7,5,5,4,4,2,2,4,5,4,3,3,2,2,2,2,3,5,4,3,3,4,4
child_7,0,14,U9,goalkeeper,low,medium,neutral,isolated,mild,low,high,medium,balanced,34,anxious,70,5,4,3,6,5,3,5,5,5,6,5,5,4,4,5,5,5,4,5,5,5,3,4,3,3,6,3,4,4,3,6,5,5,4,6,5,6,6,5,4,5,4,4,4,4,4,4,2,2,2,1,2,3,2,2,1,1,1,1,1,2,4,3,2,2,3,3,7,6,5,8,7,4,6,6,6,7,6,6,5,5,6,6,6,5,6,6,6,4,5,4,4,7,4,5,5,4,7,6,6,5,7,6,7,7,6,5,6,5,5,5,5,5,5,3,3,2,2,3,4,3,3,2,2,2,2,2,3,5,4,3,3,4,4
child_8,0,12,U7,midfielder,high,medium,neutral,isolated,mild,high,medium,medium,fun,69,excited,15,8,6,5,7,7,5,6,9,8,6,6,7,6,5,5,6,7,6,5,7,6,4,5,5,4,6,5,5,6,6,7,7,5,6,7,6,6,5,5,9,8,9,6,7,7,6,5,6,6,5,6,5,6,5,5,4,5,7,5,4,5,7,5,4,6,5,5,9,10,9,8,8,10,7,10,9,7,7,7,8,7,8,7,8,8,7,8,8,7,6,7,8,8,8,7,7,8,8,7,6,7,8,7,7,6,6,10,9,9,7,8,8,5,6,9,8,7,8,5,6,5,5,4,5,8,5,3,6,7,5,5,8,6,6
