persona_id,run_index,age,age_group,position,skill_level,coach_relationship,teammate_relationship,bullying,parent_support,current_mood,stress_level,overall_satisfaction,Q1_sat,Q1_imp,Q2_sat,Q2_imp,Q3_sat,Q3_imp,Q4_sat,Q4_imp,Q5_sat,Q5_imp,Q6_sat,Q6_imp,Q7_sat,Q7_imp,Q8_sat,Q8_imp,Q9_sat,Q9_imp,Q10_sat,Q10_imp,Q11_sat,Q11_imp,Q12_sat,Q12_imp,Q13_sat,Q13_imp,Q14_sat,Q14_imp,Q15_sat,Q15_imp,Q16_sat,Q16_imp,Q17_sat,Q17_imp,Q18_sat,Q18_imp,Q19_sat,Q19_imp,Q20_sat,Q20_imp,Q21_sat,Q21_imp,Q22_sat,Q22_imp,Q23_sat,Q23_imp,Q24_sat,Q24_imp,Q25_sat,Q25_imp,Q26_sat,Q26_imp,Q27_sat,Q27_imp,Q28_sat,Q28_imp,Q29_sat,Q29_imp,Q30_sat,Q30_imp,Q31_sat,Q31_imp,Q32_sat,Q32_imp,Q33_sat,Q33_imp,Q34_sat,Q34_imp,Q35_sat,Q35_imp,Q36_sat,Q36_imp,Q37_sat,Q37_imp,Q38_sat,Q38_imp,Q39_sat,Q39_imp,Q40_sat,Q40_imp,Q41_sat,Q41_imp,Q42_sat,Q42_imp,Q43_sat,Q43_imp,Q44_sat,Q44_imp,Q45_sat,Q45_imp,Q46_sat,Q46_imp,Q47_sat,Q47_imp,Q48_sat,Q48_imp,Q49_sat,Q49_imp,Q50_sat,Q50_imp,Q51_sat,Q51_imp,Q52_sat,Q52_imp,Q53_sat,Q53_imp,Q54_sat,Q54_imp,Q55_sat,Q55_imp,Q56_sat,Q56_imp,Q57_sat,Q57_imp,Q58_sat,Q58_imp,Q59_sat,Q59_imp,Q60_sat,Q60_imp,Q61_sat,Q61_imp,Q62_sat,Q62_imp,Q63_sat,Q63_imp,Q64_sat,Q64_imp,Q65_sat,Q65_imp,Q66_sat,Q66_imp,Q67_sat,Q67_imp
child_0,0,7,U7,mixed,medium,good,average,none,medium,happy,42,66,8,9,7,8,6,7,8,9,8,10,7,6,9,8,9,10,8,9,9,9,9,8,8,9,8,8,8,9,9,8,9,8,8,9,7,8,8,8,9,10,9,9,7,7,8,8,7,8,7,8,8,9,6,7,7,8,8,8,8,9,9,10,8,9,9,8,8,9,8,9,7,8,7,8,7,8,6,7,7,10,6,9,8,9,8,7,7,9,8,9,6,5,9,8,6,5,6,5,5,4,4,3,5,4,8,7,6,5,6,5,5,4,4,3,7,6,5,4,4,3,6,5,8,7,5,4,6,5,7,8,7,6,7,7
child_1,0,7,U8,forward,low,neutral,strong,mild,high,excited,42,80,9,10,10,10,8,7,7,8,6,9,9,8,7,8,9,8,8,7,6,6,7,7,8,8,7,7,6,8,7,8,7,8,8,8,7,7,6,6,8,7,9,9,9,9,8,8,7,7,9,9,9,9,7,7,8,8,9,9,10,10,7,8,7,8,8,9,8,8,8,8,8,8,7,7,6,7,5,6,10,10,9,8,9,9,7,7,8,8,8,8,6,5,9,9,8,7,8,7,5,5,6,5,5,5,7,7,6,6,6,6,4,4,5,5,7,7,6,6,4,4,5,5,8,8,4,4,6,6,8,8,7,7,8,8
child_2,0,7,U7,defender,medium,neutral,strong,none,low,happy,53,65,8,9,9,10,7,8,7,8,7,9,8,8,6,7,7,9,6,8,6,7,6,8,7,8,7,8,7,8,7,8,7,8,6,8,7,8,6,7,7,8,7,8,9,10,8,9,8,9,9,10,9,10,8,8,8,8,9,9,8,8,7,8,8,9,7,8,7,8,8,9,7,8,7,8,7,8,6,7,7,9,6,8,7,8,6,7,7,8,7,8,6,6,5,6,8,8,8,8,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,7,8,6,6,5,5,5,5,8,8,5,5,6,6,8,9,7,8,8,9
child_3,0,9,U9,forward,medium,good,average,none,medium,frustrated,59,41,5,6,6,9,5,7,7,8,7,9,5,5,6,8,4,10,3,9,7,8,7,8,6,7,6,7,8,9,7,7,6,7,7,8,6,7,6,6,8,8,8,9,6,8,5,7,4,6,6,8,6,8,5,6,5,7,4,6,3,6,6,8,7,8,6,9,6,8,7,9,6,8,6,7,5,6,5,6,4,10,5,9,4,9,5,6,6,7,5,7,5,5,6,7,5,5,5,5,4,5,4,5,5,5,6,6,6,6,5,5,4,4,3,4,5,5,5,5,3,3,5,5,6,7,4,4,5,5,6,7,5,6,5,6
child_4,0,9,U7,mixed,high,good,strong,none,low,excited,48,94,9,9,10,10,8,8,9,9,9,8,9,8,8,9,10,10,9,9,9,9,9,9,9,8,9,9,8,9,9,9,8,8,10,10,9,9,8,8,10,10,10,10,10,10,9,9,9,9,10,10,10,10,8,8,9,9,10,10,10,10,9,9,9,9,8,9,9,9,9,9,8,8,8,8,7,7,6,6,10,10,9,9,10,10,9,8,10,10,9,9,8,7,9,8,8,7,9,8,7,7,8,8,7,6,8,8,6,6,5,5,4,4,5,5,6,5,6,6,4,4,7,7,10,10,5,5,6,6,9,8,10,10,10,10
child_5,0,8,U8,goalkeeper,low,good,average,none,medium,happy,52,65,8,9,7,8,7,7,6,8,6,9,7,9,9,10,6,9,5,8,8,9,8,9,7,8,7,8,7,9,8,9,8,9,9,10,7,8,8,9,9,10,9,10,7,9,6,8,6,8,7,9,8,9,9,10,7,8,8,9,8,9,7,8,8,9,9,10,7,9,6,8,8,9,7,8,6,7,6,7,5,9,5,8,5,9,6,8,7,9,7,9,6,7,8,8,7,8,7,8,6,7,7,8,6,6,8,8,6,6,6,6,5,5,5,5,7,8,6,6,5,5,6,7,8,9,5,6,6,7,8,9,7,8,7,8
child_6,0,7,U8,midfielder,medium,neutral,average,none,low,excited,37,51,9,8,8,9,7,6,6,9,7,8,9,10,5,5,9,10,8,9,6,8,7,8,5,7,6,7,7,8,7,6,7,8,8,7,6,8,7,6,6,7,7,8,8,9,7,7,7,8,8,9,9,10,8,8,6,7,8,8,9,9,7,9,7,8,5,5,7,8,8,9,6,7,7,6,6,7,5,6,9,10,7,8,9,10,6,7,8,9,8,8,6,5,7,8,8,7,8,7,6,5,7,6,6,5,7,7,6,5,6,5,4,3,5,4,6,6,5,5,3,2,4,4,7,8,5,4,7,8,8,9,7,6,7,7
child_7,0,8,U7,forward,high,good,strong,none,low,excited,40,88,9,8,10,10,8,7,6,9,9,9,10,10,8,9,10,10,9,9,8,7,9,8,8,9,8,8,9,9,9,9,8,8,9,8,10,9,8,7,9,8,10,9,10,10,9,8,9,9,10,10,10,10,9,8,9,9,10,10,10,10,8,9,9,9,8,9,9,9,7,8,9,8,8,7,7,7,6,6,10,10,9,9,9,9,8,8,10,10,10,10,7,6,9,8,10,9,10,9,8,7,9,8,6,5,7,6,6,5,6,5,5,4,4,3,8,7,6,5,3,2,7,6,10,9,5,4,8,7,10,10,10,9,10,9
child_8,0,9,U10,mixed,medium,good,average,none,high,excited,44,100,9,8,10,10,8,6,10,10,9,9,8,7,7,6,10,10,10,9,9,8,9,9,9,8,9,8,9,9,9,8,10,10,9,8,9,7,8,7,10,9,10,9,8,7,7,6,9,8,8,7,9,9,7,6,8,7,9,8,10,9,10,10,9,9,7,6,9,8,10,10,8,7,9,8,8,7,8,6,10,10,9,8,9,8,8,7,9,8,8,7,7,6,10,10,8,6,9,7,7,5,6,4,5,3,9,8,5,4,5,4,4,3,4,2,6,5,5,4,4,3,5,4,9,8,5,4,6,5,10,9,9,8,10,10
child_9,0,10,U9,mixed,low,neutral,average,none,low,excited,34,30,9,8,7,6,6,5,5,7,7,9,6,6,8,9,9,8,8,7,6,6,5,5,6,7,5,6,6,8,5,7,6,7,7,8,6,6,5,5,5,4,6,5,7,7,8,8,7,6,7,8,9,8,5,4,6,6,7,6,8,7,7,8,7,9,8,9,7,8,6,7,7,6,6,7,5,5,5,4,9,8,7,6,8,7,6,5,7,8,8,8,6,5,5,4,6,5,6,5,5,4,6,5,5,4,6,5,5,4,4,3,4,3,5,4,6,5,4,3,3,2,5,4,7,6,4,3,5,4,6,5,5,4,5,4
